SystemTime,destinationIP,lastHopIP,linkQuality,neighborLinkQuality,tcEdgeCost,validityTime
1466418474,10.0.0.2,10.0.0.1,1,0.894,1145,0
1466418474,10.0.0.1,10.0.0.2,0.94,1,1088,276672
1466418474,10.0.0.3,10.0.0.2,1,0.839,1220,276672
1466418474,10.0.0.2,10.0.0.3,0.839,1,1220,279097
1466418474,10.0.0.4,10.0.0.3,0.446,0.839,2729,279097
1466418474,10.0.0.5,10.0.0.3,0.94,0.886,1227,279097
1466418474,10.0.0.6,10.0.0.3,0.553,0.776,2385,279097
1466418474,10.0.0.3,10.0.0.4,0.819,0.298,4191,275623
1466418474,10.0.0.5,10.0.0.4,1,0.553,1851,275623
1466418474,10.0.0.3,10.0.0.5,0.886,0.796,1451,274373
1466418474,10.0.0.4,10.0.0.5,0.576,1,1776,274373
1466418474,10.0.0.6,10.0.0.5,0.721,0.831,1706,274373
1466418474,10.0.0.3,10.0.0.6,0.776,0.388,3396,278075
1466418474,10.0.0.5,10.0.0.6,0.831,0.607,2026,278075
1466418505,10.0.0.2,10.0.0.1,1,1,1024,0
1466418505,10.0.0.1,10.0.0.2,1,1,1024,277223
1466418505,10.0.0.3,10.0.0.2,1,1,1024,277223
1466418505,10.0.0.2,10.0.0.3,1,1,1024,276434
1466418505,10.0.0.4,10.0.0.3,0.878,0.94,1238,276434
1466418505,10.0.0.5,10.0.0.3,1,1,1024,276434
1466418505,10.0.0.6,10.0.0.3,0.643,0.831,1915,276434
1466418505,10.0.0.3,10.0.0.4,0.94,0.831,1308,281589
1466418505,10.0.0.5,10.0.0.4,1,0.94,1088,281589
1466418505,10.0.0.3,10.0.0.5,1,1,1024,276827
1466418505,10.0.0.4,10.0.0.5,0.94,1,1088,276827
1466418505,10.0.0.6,10.0.0.5,0.94,1,1088,276827
1466418505,10.0.0.3,10.0.0.6,0.831,0.643,1915,282682
1466418505,10.0.0.5,10.0.0.6,0.944,0.94,1151,282682
1466418536,10.0.0.2,10.0.0.1,1,1,1024,0
1466418536,10.0.0.1,10.0.0.2,1,1,1024,273811
1466418536,10.0.0.3,10.0.0.2,1,1,1024,273811
1466418536,10.0.0.2,10.0.0.3,1,1,1024,276236
1466418536,10.0.0.4,10.0.0.3,0.839,0.937,1301,276236
1466418536,10.0.0.5,10.0.0.3,0.831,0.662,1858,276236
1466418536,10.0.0.6,10.0.0.3,0.732,0.576,2422,276236
1466418536,10.0.0.3,10.0.0.4,0.937,0.788,1386,274866
1466418536,10.0.0.5,10.0.0.4,1,0.839,1220,274866
1466418536,10.0.0.3,10.0.0.5,0.662,0.831,1858,271661
1466418536,10.0.0.4,10.0.0.5,0.894,1,1145,271661
1466418536,10.0.0.6,10.0.0.5,1,0.878,1165,271661
1466418536,10.0.0.3,10.0.0.6,0.576,0.761,2334,284242
1466418536,10.0.0.5,10.0.0.6,0.878,1,1165,284242
1466418562,10.0.0.2,10.0.0.1,1,1,1024,0
1466418562,10.0.0.1,10.0.0.2,1,1,1024,276219
1466418562,10.0.0.3,10.0.0.2,1,1,1024,276219
1466418562,10.0.0.2,10.0.0.3,1,1,1024,276737
1466418562,10.0.0.4,10.0.0.3,1,1,1024,276737
1466418562,10.0.0.5,10.0.0.3,1,1,1024,276737
1466418562,10.0.0.6,10.0.0.3,0.937,0.662,1648,276737
1466418562,10.0.0.3,10.0.0.4,1,1,1024,274918
1466418562,10.0.0.5,10.0.0.4,1,0.894,1145,274918
1466418562,10.0.0.3,10.0.0.5,1,0.897,1140,273518
1466418562,10.0.0.4,10.0.0.5,1,1,1024,273518
1466418562,10.0.0.6,10.0.0.5,1,0.894,1145,273518
1466418562,10.0.0.3,10.0.0.6,0.662,0.94,1641,284892
1466418562,10.0.0.5,10.0.0.6,0.944,1,1083,284892
1466418593,10.0.0.2,10.0.0.1,1,1,1024,0
1466418593,10.0.0.1,10.0.0.2,1,1,1024,275819
1466418593,10.0.0.3,10.0.0.2,1,1,1024,275819
1466418593,10.0.0.2,10.0.0.3,1,1,1024,278244
1466418593,10.0.0.4,10.0.0.3,1,1,1024,278244
1466418593,10.0.0.5,10.0.0.3,1,1,1024,278244
1466418593,10.0.0.6,10.0.0.3,0.713,0.819,1750,278244
1466418593,10.0.0.3,10.0.0.4,1,1,1024,280185
1466418593,10.0.0.5,10.0.0.4,1,1,1024,280185
1466418593,10.0.0.3,10.0.0.5,1,1,1024,276980
1466418593,10.0.0.4,10.0.0.5,1,1,1024,276980
1466418593,10.0.0.6,10.0.0.5,1,1,1024,276980
1466418593,10.0.0.3,10.0.0.6,0.623,0.886,1852,280626
1466418593,10.0.0.5,10.0.0.6,1,1,1024,280626
1466418624,10.0.0.2,10.0.0.1,1,1,1024,0
1466418624,10.0.0.1,10.0.0.2,1,1,1024,274605
1466418624,10.0.0.3,10.0.0.2,1,1,1024,274605
1466418624,10.0.0.2,10.0.0.3,1,1,1024,278639
