SystemTime,destinationIP,lastHopIP,linkQuality,neighborLinkQuality,tcEdgeCost,validityTime
1466418474,10.0.0.2,10.0.0.1,1,0.894,1145,287610
1466418474,10.0.0.1,10.0.0.2,0.94,1,1088,280675
1466418474,10.0.0.3,10.0.0.2,1,0.839,1220,280675
1466418474,10.0.0.2,10.0.0.3,0.886,1,1155,0
1466418474,10.0.0.4,10.0.0.3,0.497,0.886,2319,0
1466418474,10.0.0.5,10.0.0.3,0.948,0.886,1217,0
1466418474,10.0.0.6,10.0.0.3,0.553,0.831,2227,0
1466418474,10.0.0.3,10.0.0.4,0.886,0.419,2753,277192
1466418474,10.0.0.5,10.0.0.4,1,0.643,1592,277192
1466418474,10.0.0.3,10.0.0.5,0.886,0.94,1227,281055
1466418474,10.0.0.4,10.0.0.5,0.643,1,1592,281055
1466418474,10.0.0.6,10.0.0.5,0.721,0.831,1706,281055
1466418474,10.0.0.3,10.0.0.6,0.831,0.553,2227,285257
1466418474,10.0.0.5,10.0.0.6,0.839,0.721,1691,285257
1466418505,10.0.0.2,10.0.0.1,1,1,1024,283093
1466418505,10.0.0.1,10.0.0.2,1,1,1024,281176
1466418505,10.0.0.3,10.0.0.2,1,1,1024,281176
1466418505,10.0.0.2,10.0.0.3,1,1,1024,0
1466418505,10.0.0.4,10.0.0.3,0.831,0.94,1308,0
1466418505,10.0.0.5,10.0.0.3,1,1,1024,0
1466418505,10.0.0.6,10.0.0.3,0.576,0.662,2680,0
1466418505,10.0.0.3,10.0.0.4,0.94,0.831,1308,274083
1466418505,10.0.0.5,10.0.0.4,1,0.94,1088,274083
1466418505,10.0.0.3,10.0.0.5,1,1,1024,280200
1466418505,10.0.0.4,10.0.0.5,0.94,1,1088,280200
1466418505,10.0.0.6,10.0.0.5,0.94,1,1088,280200
1466418505,10.0.0.3,10.0.0.6,0.662,0.607,2541,284706
1466418505,10.0.0.5,10.0.0.6,0.886,0.94,1227,284706
1466418536,10.0.0.2,10.0.0.1,1,1,1024,284699
1466418536,10.0.0.1,10.0.0.2,1,1,1024,282829
1466418536,10.0.0.3,10.0.0.2,1,1,1024,282829
1466418536,10.0.0.2,10.0.0.3,1,1,1024,0
1466418536,10.0.0.4,10.0.0.3,0.894,0.937,1221,0
1466418536,10.0.0.5,10.0.0.3,0.839,0.662,1841,0
1466418536,10.0.0.6,10.0.0.3,0.886,0.576,2004,0
1466418536,10.0.0.3,10.0.0.4,0.937,0.788,1386,271824
1466418536,10.0.0.5,10.0.0.4,1,0.839,1220,271824
1466418536,10.0.0.3,10.0.0.5,0.662,0.831,1858,280601
1466418536,10.0.0.4,10.0.0.5,0.894,1,1145,280601
1466418536,10.0.0.6,10.0.0.5,1,0.878,1165,280601
1466418536,10.0.0.3,10.0.0.6,0.576,0.761,2334,284404
1466418536,10.0.0.5,10.0.0.6,0.878,1,1165,284404
1466418562,10.0.0.2,10.0.0.1,1,1,1024,285301
1466418562,10.0.0.1,10.0.0.2,1,1,1024,280170
1466418562,10.0.0.3,10.0.0.2,1,1,1024,280170
1466418562,10.0.0.2,10.0.0.3,1,1,1024,0
1466418562,10.0.0.4,10.0.0.3,1,1,1024,0
1466418562,10.0.0.5,10.0.0.3,1,1,1024,0
1466418562,10.0.0.6,10.0.0.3,0.937,0.662,1648,0
1466418562,10.0.0.3,10.0.0.4,1,1,1024,275737
