SystemTime,destinationIP,lastHopIP,linkQuality,neighborLinkQuality,tcEdgeCost,validityTime
1466418473,10.0.0.2,10.0.0.1,1,0.894,1145,283576
1466418473,10.0.0.1,10.0.0.2,0.847,1,1208,277456
1466418473,10.0.0.3,10.0.0.2,1,0.894,1145,277456
1466418473,10.0.0.2,10.0.0.3,0.839,1,1220,273639
1466418473,10.0.0.4,10.0.0.3,0.446,0.839,2729,273639
1466418473,10.0.0.5,10.0.0.3,0.94,0.886,1227,273639
1466418473,10.0.0.6,10.0.0.3,0.553,0.776,2385,273639
1466418473,10.0.0.3,10.0.0.4,0.886,0.419,2753,0
1466418473,10.0.0.5,10.0.0.4,1,0.643,1592,0
1466418473,10.0.0.3,10.0.0.5,0.886,0.94,1227,280086
1466418473,10.0.0.4,10.0.0.5,0.643,1,1592,280086
1466418473,10.0.0.6,10.0.0.5,0.721,0.831,1706,280086
1466418473,10.0.0.3,10.0.0.6,0.776,0.446,2949,273854
1466418473,10.0.0.5,10.0.0.6,0.831,0.721,1706,273854
1466418504,10.0.0.2,10.0.0.1,1,1,1024,277865
1466418504,10.0.0.1,10.0.0.2,1,1,1024,277162
1466418504,10.0.0.3,10.0.0.2,1,1,1024,277162
1466418504,10.0.0.2,10.0.0.3,1,1,1024,269481
1466418504,10.0.0.4,10.0.0.3,0.878,0.94,1238,269481
1466418504,10.0.0.5,10.0.0.3,1,1,1024,269481
1466418504,10.0.0.6,10.0.0.3,0.643,0.831,1915,269481
1466418504,10.0.0.3,10.0.0.4,0.94,0.831,1308,0
1466418504,10.0.0.5,10.0.0.4,1,0.94,1088,0
1466418504,10.0.0.3,10.0.0.5,1,1,1024,279191
1466418504,10.0.0.4,10.0.0.5,0.94,1,1088,279191
1466418504,10.0.0.6,10.0.0.5,0.94,1,1088,279191
1466418504,10.0.0.3,10.0.0.6,0.831,0.643,1915,278130
1466418504,10.0.0.5,10.0.0.6,0.944,0.94,1151,278130
1466418535,10.0.0.2,10.0.0.1,1,1,1024,284985
1466418535,10.0.0.1,10.0.0.2,1,1,1024,277059
1466418535,10.0.0.3,10.0.0.2,1,1,1024,277059
1466418535,10.0.0.2,10.0.0.3,1,1,1024,269229
1466418535,10.0.0.4,10.0.0.3,0.839,0.937,1301,269229
1466418535,10.0.0.5,10.0.0.3,0.831,0.662,1858,269229
1466418535,10.0.0.6,10.0.0.3,0.732,0.576,2422,269229
1466418535,10.0.0.3,10.0.0.4,0.937,0.788,1386,0
1466418535,10.0.0.5,10.0.0.4,1,0.839,1220,0
1466418535,10.0.0.3,10.0.0.5,0.662,0.831,1858,279640
1466418535,10.0.0.4,10.0.0.5,0.894,1,1145,279640
1466418535,10.0.0.6,10.0.0.5,1,0.878,1165,279640
1466418535,10.0.0.3,10.0.0.6,0.576,0.761,2334,276425
1466418535,10.0.0.5,10.0.0.6,0.878,1,1165,276425
1466418566,10.0.0.2,10.0.0.1,1,1,1024,280420
1466418566,10.0.0.1,10.0.0.2,1,1,1024,277961
1466418566,10.0.0.3,10.0.0.2,1,1,1024,277961
1466418566,10.0.0.2,10.0.0.3,1,1,1024,270332
1466418566,10.0.0.4,10.0.0.3,1,1,1024,270332
1466418566,10.0.0.5,10.0.0.3,1,1,1024,270332
1466418566,10.0.0.6,10.0.0.3,0.937,0.662,1648,270332
1466418566,10.0.0.3,10.0.0.4,1,1,1024,0
1466418566,10.0.0.5,10.0.0.4,1,1,1024,0
1466418566,10.0.0.3,10.0.0.5,1,1,1024,280040
1466418566,10.0.0.4,10.0.0.5,1,1,1024,280040
1466418566,10.0.0.6,10.0.0.5,1,0.894,1145,280040
1466418566,10.0.0.3,10.0.0.6,0.662,0.94,1641,275320
1466418566,10.0.0.5,10.0.0.6,0.944,1,1083,275320
1466418592,10.0.0.2,10.0.0.1,1,1,1024,272452
1466418592,10.0.0.1,10.0.0.2,1,1,1024,280269
1466418592,10.0.0.3,10.0.0.2,1,1,1024,280269
1466418592,10.0.0.2,10.0.0.3,1,1,1024,272890
1466418592,10.0.0.4,10.0.0.3,1,1,1024,272890
1466418592,10.0.0.5,10.0.0.3,1,1,1024,272890
1466418592,10.0.0.6,10.0.0.3,0.713,0.819,1750,272890
1466418592,10.0.0.3,10.0.0.4,1,1,1024,0
1466418592,10.0.0.5,10.0.0.4,1,1,1024,0
1466418592,10.0.0.3,10.0.0.5,1,1,1024,279489
1466418592,10.0.0.4,10.0.0.5,1,1,1024,279489
1466418592,10.0.0.6,10.0.0.5,1,1,1024,279489
1466418592,10.0.0.3,10.0.0.6,0.623,0.886,1852,276776
1466418592,10.0.0.5,10.0.0.6,1,1,1024,276776
1466418623,10.0.0.2,10.0.0.1,1,1,1024,284983
1466418623,10.0.0.1,10.0.0.2,1,1,1024,278863
1466418623,10.0.0.3,10.0.0.2,1,1,1024,278863
