SystemTime,destinationIP,lastHopIP,linkQuality,neighborLinkQuality,tcEdgeCost,validityTime
1466418475,10.0.0.2,10.0.0.1,1,0.894,1145,273699
1466418475,10.0.0.1,10.0.0.2,0.94,1,1088,0
1466418475,10.0.0.3,10.0.0.2,1,0.839,1220,0
1466418475,10.0.0.2,10.0.0.3,0.839,1,1220,272459
1466418475,10.0.0.4,10.0.0.3,0.446,0.839,2729,272459
1466418475,10.0.0.5,10.0.0.3,0.94,0.886,1227,272459
1466418475,10.0.0.6,10.0.0.3,0.553,0.776,2385,272459
1466418475,10.0.0.3,10.0.0.4,0.839,0.388,3142,282760
1466418475,10.0.0.5,10.0.0.4,1,0.553,1851,282760
1466418475,10.0.0.3,10.0.0.5,0.886,0.94,1227,280327
1466418475,10.0.0.4,10.0.0.5,0.643,1,1592,280327
1466418475,10.0.0.6,10.0.0.5,0.721,0.831,1706,280327
1466418475,10.0.0.3,10.0.0.6,0.776,0.446,2949,275586
1466418475,10.0.0.5,10.0.0.6,0.831,0.721,1706,275586
1466418506,10.0.0.2,10.0.0.1,1,1,1024,274050
1466418506,10.0.0.1,10.0.0.2,1,1,1024,0
1466418506,10.0.0.3,10.0.0.2,1,1,1024,0
1466418506,10.0.0.2,10.0.0.3,1,1,1024,273562
1466418506,10.0.0.4,10.0.0.3,0.831,0.94,1308,273562
1466418506,10.0.0.5,10.0.0.3,1,1,1024,273562
1466418506,10.0.0.6,10.0.0.3,0.576,0.662,2680,273562
1466418506,10.0.0.3,10.0.0.4,0.94,0.831,1308,285419
1466418506,10.0.0.5,10.0.0.4,1,0.94,1088,285419
1466418506,10.0.0.3,10.0.0.5,1,1,1024,278021
1466418506,10.0.0.4,10.0.0.5,0.94,1,1088,278021
1466418506,10.0.0.6,10.0.0.5,0.94,1,1088,278021
1466418506,10.0.0.3,10.0.0.6,0.662,0.607,2541,282257
1466418506,10.0.0.5,10.0.0.6,0.886,0.94,1227,282257
1466418532,10.0.0.2,10.0.0.1,1,1,1024,274552
1466418532,10.0.0.1,10.0.0.2,1,1,1024,0
1466418532,10.0.0.3,10.0.0.2,1,1,1024,0
1466418532,10.0.0.2,10.0.0.3,1,1,1024,273212
1466418532,10.0.0.4,10.0.0.3,0.839,0.937,1301,273212
1466418532,10.0.0.5,10.0.0.3,0.831,0.662,1858,273212
1466418532,10.0.0.6,10.0.0.3,0.732,0.576,2422,273212
1466418532,10.0.0.3,10.0.0.4,0.937,0.788,1386,285519
1466418532,10.0.0.5,10.0.0.4,1,0.839,1220,285519
1466418532,10.0.0.3,10.0.0.5,0.662,0.831,1858,279125
1466418532,10.0.0.4,10.0.0.5,0.894,1,1145,279125
1466418532,10.0.0.6,10.0.0.5,1,0.878,1165,279125
1466418532,10.0.0.3,10.0.0.6,0.576,0.761,2334,282357
1466418532,10.0.0.5,10.0.0.6,0.878,1,1165,282357
1466418563,10.0.0.2,10.0.0.1,1,1,1024,271294
1466418563,10.0.0.1,10.0.0.2,1,1,1024,0
1466418563,10.0.0.3,10.0.0.2,1,1,1024,0
1466418563,10.0.0.2,10.0.0.3,1,1,1024,274316
1466418563,10.0.0.4,10.0.0.3,1,1,1024,274316
1466418563,10.0.0.5,10.0.0.3,1,1,1024,274316
1466418563,10.0.0.6,10.0.0.3,0.937,0.662,1648,274316
1466418563,10.0.0.3,10.0.0.4,1,1,1024,284617
1466418563,10.0.0.5,10.0.0.4,1,1,1024,284617
1466418563,10.0.0.3,10.0.0.5,1,1,1024,280329
1466418563,10.0.0.4,10.0.0.5,1,1,1024,280329
1466418563,10.0.0.6,10.0.0.5,1,0.894,1145,280329
1466418563,10.0.0.3,10.0.0.6,0.662,0.94,1641,281455
1466418563,10.0.0.5,10.0.0.6,0.944,1,1083,281455
1466418594,10.0.0.2,10.0.0.1,1,1,1024,274753
1466418594,10.0.0.1,10.0.0.2,1,1,1024,0
1466418594,10.0.0.3,10.0.0.2,1,1,1024,0
1466418594,10.0.0.2,10.0.0.3,1,1,1024,271606
1466418594,10.0.0.4,10.0.0.3,1,1,1024,271606
1466418594,10.0.0.5,10.0.0.3,1,1,1024,271606
1466418594,10.0.0.6,10.0.0.3,0.713,0.819,1750,271606
1466418594,10.0.0.3,10.0.0.4,1,1,1024,283464
1466418594,10.0.0.5,10.0.0.4,1,1,1024,283464
1466418594,10.0.0.3,10.0.0.5,1,1,1024,279474
1466418594,10.0.0.4,10.0.0.5,1,1,1024,279474
1466418594,10.0.0.6,10.0.0.5,1,1,1024,279474
1466418594,10.0.0.3,10.0.0.6,0.623,0.886,1852,273275
1466418594,10.0.0.5,10.0.0.6,1,1,1024,273275
1466418625,10.0.0.2,10.0.0.1,1,1,1024,273849
1466418625,10.0.0.1,10.0.0.2,1,1,1024,0
1466418625,10.0.0.3,10.0.0.2,1,1,1024,0
1466418625,10.0.0.2,10.0.0.3,1,1,1024,271751
1466418625,10.0.0.4,10.0.0.3,0.776,1,1318,271751
1466418625,10.0.0.5,10.0.0.3,0.944,0.894,1211,271751
1466418625,10.0.0.6,10.0.0.3,0.521,0.388,5057,271751
1466418625,10.0.0.3,10.0.0.4,1,0.776,1318,282052
1466418625,10.0.0.5,10.0.0.4,1,0.862,1186,282052
1466418625,10.0.0.3,10.0.0.5,0.886,0.944,1222,279619
1466418625,10.0.0.4,10.0.0.5,0.862,1,1186,279619
1466418625,10.0.0.6,10.0.0.5,0.894,1,1145,279619
1466418625,10.0.0.3,10.0.0.6,0.419,0.521,4678,275324
1466418625,10.0.0.5,10.0.0.6,1,1,1024,275324
1466418656,10.0.0.2,10.0.0.1,1,1,1024,272794
1466418656,10.0.0.1,10.0.0.2,1,1,1024,0
1466418656,10.0.0.3,10.0.0.2,0.94,0.886,1227,0
1466418656,10.0.0.2,10.0.0.3,0.886,0.94,1227,275117
1466418656,10.0.0.4,10.0.0.3,0.776,0.886,1488,275117
1466418656,10.0.0.5,10.0.0.3,0.831,0.529,2326,275117
1466418656,10.0.0.6,10.0.0.3,0.152,0.553,12108,275117
1466418656,10.0.0.3,10.0.0.4,0.878,0.819,1422,285418
1466418656,10.0.0.5,10.0.0.4,1,0.788,1299,285418
1466418656,10.0.0.3,10.0.0.5,0.529,0.796,2429,282985
1466418656,10.0.0.4,10.0.0.5,0.788,1,1299,282985
1466418656,10.0.0.6,10.0.0.5,0.701,1,1458,282985
1466418656,10.0.0.3,10.0.0.6,0.497,0.211,9709,282256
1466418656,10.0.0.5,10.0.0.6,1,0.721,1419,282256
1466418682,10.0.0.2,10.0.0.1,1,1,1024,272997
1466418682,10.0.0.1,10.0.0.2,1,1,1024,0
1466418682,10.0.0.3,10.0.0.2,1,0.886,1155,0
1466418682,10.0.0.2,10.0.0.3,0.839,0.944,1291,272406
1466418682,10.0.0.4,10.0.0.3,0.831,0.819,1502,272406
1466418682,10.0.0.5,10.0.0.3,0.831,0.521,2361,272406
1466418682,10.0.0.6,10.0.0.3,0.274,0.259,14412,272406
1466418682,10.0.0.3,10.0.0.4,0.721,0.894,1587,280896
1466418682,10.0.0.5,10.0.0.4,1,0.732,1396,280896
1466418682,10.0.0.3,10.0.0.5,0.521,0.831,2361,278463
1466418682,10.0.0.4,10.0.0.5,0.776,1,1318,278463
1466418682,10.0.0.6,10.0.0.5,0.761,0.886,1518,278463
1466418682,10.0.0.3,10.0.0.6,0.298,0.274,12516,281505
1466418682,10.0.0.5,10.0.0.6,0.886,0.761,1518,281505
1466418713,10.0.0.2,10.0.0.1,1,1,1024,268565
1466418713,10.0.0.1,10.0.0.2,1,1,1024,0
1466418713,10.0.0.3,10.0.0.2,1,0.886,1155,0
1466418713,10.0.0.2,10.0.0.3,0.94,1,1088,273409
1466418713,10.0.0.4,10.0.0.3,0.646,0.886,1785,273409
1466418713,10.0.0.5,10.0.0.3,0.701,0.701,2078,273409
1466418713,10.0.0.6,10.0.0.3,0.329,0.259,12010,273409
1466418713,10.0.0.3,10.0.0.4,0.886,0.721,1601,276418
1466418713,10.0.0.5,10.0.0.4,0.94,0.776,1401,276418
1466418713,10.0.0.3,10.0.0.5,0.701,0.697,2089,273985
1466418713,10.0.0.4,10.0.0.5,0.776,0.94,1401,273985
1466418713,10.0.0.6,10.0.0.5,0.94,0.796,1366,273985
1466418713,10.0.0.3,10.0.0.6,0.259,0.36,10966,271399
1466418713,10.0.0.5,10.0.0.6,0.796,0.94,1366,271399
1466418744,10.0.0.2,10.0.0.1,1,0.831,1231,272593
1466418744,10.0.0.1,10.0.0.2,0.894,1,1145,0
1466418744,10.0.0.3,10.0.0.2,0.886,0.686,1683,0
1466418744,10.0.0.2,10.0.0.3,0.721,0.94,1507,274665
1466418744,10.0.0.4,10.0.0.3,0.462,0.94,2351,274665
1466418744,10.0.0.5,10.0.0.3,0.646,0.553,2862,274665
1466418744,10.0.0.6,10.0.0.3,0.282,0.576,6291,274665
1466418744,10.0.0.3,10.0.0.4,0.94,0.553,1967,276122
1466418744,10.0.0.5,10.0.0.4,1,0.682,1500,276122
1466418744,10.0.0.3,10.0.0.5,0.553,0.627,2951,279070
1466418744,10.0.0.4,10.0.0.5,0.627,1,1632,279070
1466418744,10.0.0.6,10.0.0.5,0.831,0.839,1467,279070
1466418744,10.0.0.3,10.0.0.6,0.576,0.207,8546,276684
1466418744,10.0.0.5,10.0.0.6,0.839,0.831,1467,276684
1466418775,10.0.0.2,10.0.0.1,1,1,1024,274450
1466418775,10.0.0.1,10.0.0.2,1,1,1024,0
1466418775,10.0.0.3,10.0.0.2,1,0.839,1220,0
1466418775,10.0.0.2,10.0.0.3,0.878,1,1165,273912
1466418775,10.0.0.4,10.0.0.3,0.553,0.886,2089,273912
1466418775,10.0.0.5,10.0.0.3,0.761,0.553,2434,273912
1466418775,10.0.0.6,10.0.0.3,0.29,0.497,7085,273912
1466418775,10.0.0.3,10.0.0.4,0.886,0.607,1900,284213
1466418775,10.0.0.5,10.0.0.4,0.944,0.662,1634,284213
1466418775,10.0.0.3,10.0.0.5,0.553,0.776,2385,281780
1466418775,10.0.0.4,10.0.0.5,0.721,0.944,1501,281780
1466418775,10.0.0.6,10.0.0.5,0.521,0.886,2215,281780
1466418775,10.0.0.3,10.0.0.6,0.497,0.263,7825,275625
1466418775,10.0.0.5,10.0.0.6,0.886,0.607,1900,275625
1466418806,10.0.0.2,10.0.0.1,1,0.886,1155,273899
1466418806,10.0.0.1,10.0.0.2,0.831,1,1231,0
1466418806,10.0.0.3,10.0.0.2,0.886,0.732,1575,0
1466418806,10.0.0.2,10.0.0.3,0.776,1,1318,269940
1466418806,10.0.0.4,10.0.0.3,0.549,0.662,2814,269940
1466418806,10.0.0.5,10.0.0.3,0.682,0.442,3386,269940
1466418806,10.0.0.6,10.0.0.3,0.419,0.419,5815,269940
1466418806,10.0.0.3,10.0.0.4,0.643,0.549,2900,282153
1466418806,10.0.0.5,10.0.0.4,0.886,0.776,1488,282153
1466418806,10.0.0.3,10.0.0.5,0.442,0.682,3386,281578
